Unnamed: 0,claim_text,premise_texts,year,quarter,label,argument,temporal_label,,,,,
435,"As I go through different countries as I've been traveling lately, and looking at some things in the market, other things that are coming, the very cool thing is they're all over the place.",I see things that the consumers going to love because its going to change shopping. I see things that consumers will love on the gaming side and the entertainment side. I see business-related AR apps as well. And I see apps that makes me want to go back to K-12 again and repeat my schooling because I think it changes the game in the classroom a lot.,2017,Q4,0,"As I go through different countries as I've been traveling lately, and looking at some things in the market, other things that are coming, the very cool thing is they're all over the place. I see things that the consumers going to love because its going to change shopping. I see things that consumers will love on the gaming side and the entertainment side. I see business-related AR apps as well. And I see apps that makes me want to go back to K-12 again and repeat my schooling because I think it changes the game in the classroom a lot.",0,Correct,,,,
677,"The emerging markets which has been a source to great questions over time, the growth was absolutely stunning,",,2015,Q1,0,"The emerging markets which has been a source to great questions over time, the growth was absolutely stunning, ",0,Correct,,,,
1963,"Really, Karl, what can drive that in addition to the overall gross margin improvement we talk about in the cloud, it's also really the strength we see in our Windows business.",And I mean that not just in our OEM business but also across the commercial business for Windows. That tends to have a very good margin profile. And as we continue to improve the margin profile of our devices we continue to see the OEM business health improve And actually we continue to see the growth in the consumer services around the transactions that run through Xbox is also good margin business for us that looks quite different than the hardware profile.,2017,Q2,0,"Really, Karl, what can drive that in addition to the overall gross margin improvement we talk about in the cloud, it's also really the strength we see in our Windows business. And I mean that not just in our OEM business but also across the commercial business for Windows. That tends to have a very good margin profile. And as we continue to improve the margin profile of our devices we continue to see the OEM business health improve And actually we continue to see the growth in the consumer services around the transactions that run through Xbox is also good margin business for us that looks quite different than the hardware profile.",0,Correct,,,,
475,We're very thrilled with the customer response to Prime Video.,Again when Prime Video is used by our Prime members it drives adoption and retention higher free trial conversion rates and higher renewal rates for subscribers. So what we were encouraged by in Q4 was that globally we doubled the number of – our Prime members doubled the number of viewing hours of the Prime Video year-over-year. And internationally we had twice as member Prime members streaming year-over-year.,2015,Q4,2,We're very thrilled with the customer response to Prime Video. Again when Prime Video is used by our Prime members it drives adoption and retention higher free trial conversion rates and higher renewal rates for subscribers. So what we were encouraged by in Q4 was that globally we doubled the number of – our Prime members doubled the number of viewing hours of the Prime Video year-over-year. And internationally we had twice as member Prime members streaming year-over-year.,2,Correct,,,,
1414,We generally work to change the fees to make sure that the incentives are strong on both sides and we continue to have a healthy growth in third party.,On the international on an FX neutral basis the growth was 15% in Q3 and 19% in Q4.,2018,Q4,2,We generally work to change the fees to make sure that the incentives are strong on both sides and we continue to have a healthy growth in third party. On the international on an FX neutral basis the growth was 15% in Q3 and 19% in Q4.,2,Correct,,,,
204,"So we decided hey, we're going to put together a team that's going to invest in making this actually good for buying and selling and see how much we can grow that economy.",So I think your basic point is right that the reason why we started working on Marketplace and the tab around that is because when we were exploring what the biggest use cases were of Groups we uncovered that a very large number of people hundreds of millions use Groups to buy and sell different things. And so these whole communities have formed which was somewhat surprising to us honestly because we hadnt developed that product specifically for buying and selling. It was for group communication and thats what people were using it for.,2017,Q1,0,"So we decided hey, we're going to put together a team that's going to invest in making this actually good for buying and selling and see how much we can grow that economy. So I think your basic point is right that the reason why we started working on Marketplace and the tab around that is because when we were exploring what the biggest use cases were of Groups we uncovered that a very large number of people hundreds of millions use Groups to buy and sell different things. And so these whole communities have formed which was somewhat surprising to us honestly because we hadnt developed that product specifically for buying and selling. It was for group communication and thats what people were using it for.",0,Correct,,,,
143,So there’s a lot of granularity that goes into thinking about how revenue will progress that ultimately it’s going to depend on the supply and demand characteristics in that given quarter when we do that and we see that we expect constant currency deceleration.,And when we get to Q4 we’re going to be lapping some particularly successful optimizations that we had in Q4 and that’s going to contribute to more of a decel in Q4 than we think we’ll see in Q3.,2019,Q2,2,So there’s a lot of granularity that goes into thinking about how revenue will progress that ultimately it’s going to depend on the supply and demand characteristics in that given quarter when we do that and we see that we expect constant currency deceleration. And when we get to Q4 we’re going to be lapping some particularly successful optimizations that we had in Q4 and that’s going to contribute to more of a decel in Q4 than we think we’ll see in Q3.,1,Wrong,,,,
1192,And our supply chain management is optimized for it.,And we learned a lot with what is our workload diversity as well as our geo-diversity.,2015,Q3,0,And our supply chain management is optimized for it. And we learned a lot with what is our workload diversity as well as our geo-diversity.,0,Correct,,,,
848,"So when you say killer apps, the killer apps are how are customers able to reimagine how they think about customer engagement, how they think about employee empowerment or the operational efficiency, or how they can change the products and the business models and the products.",The best way to think about how people are using whether its Azure or Dynamics 365 or other capabilities we have is in the context of that digital transformation and the outcome. And if you look at even the examples I used in this quarterly earnings call Maersk and what they are trying to do across all of those is pretty transformative. There is machine learning in AI. There is IoT. There is new type of business process automation with operations. All of that is transforming Maersk. What thyssenkrupp has done in their Elevator business and other business units by using anything from HoloLens to a front-line worker to how theyre fundamentally moving their business model from essentially the margin on the thing to the margin on the service which has machine learning and AI built into it. And in fact its not about in fact taking any old workload per se but its about reimagining what they want to do across these. And in that context of course theyre lifting and shifting some of the older workloads but theyre modernizing the entire business process flow.,2017,Q3,0,"So when you say killer apps, the killer apps are how are customers able to reimagine how they think about customer engagement, how they think about employee empowerment or the operational efficiency, or how they can change the products and the business models and the products. The best way to think about how people are using whether its Azure or Dynamics 365 or other capabilities we have is in the context of that digital transformation and the outcome. And if you look at even the examples I used in this quarterly earnings call Maersk and what they are trying to do across all of those is pretty transformative. There is machine learning in AI. There is IoT. There is new type of business process automation with operations. All of that is transforming Maersk. What thyssenkrupp has done in their Elevator business and other business units by using anything from HoloLens to a front-line worker to how theyre fundamentally moving their business model from essentially the margin on the thing to the margin on the service which has machine learning and AI built into it. And in fact its not about in fact taking any old workload per se but its about reimagining what they want to do across these. And in that context of course theyre lifting and shifting some of the older workloads but theyre modernizing the entire business process flow.",0,Correct,,,,
2120,"So we factor that in, and then there’s also two other issues.",It’s a bit about the law of large numbers and the differential between growth and holiday season that’s very tight few weeks of the holiday season versus the rest of the year. The Diwali holiday in India was all in Q4 last year and a bit of it was in Q3 this year. Also the Japan consumption tax was raised from 8% to 10% on October 1 and what we saw was a pre-buy a bit in Q3 at the end of the quarter and based on our history with the last time the consumption tax went up many years ago we’ve expected a slight negative impact from that tax in Q4 in Japan. I would say it has helped us by 150 basis points in Q3 and will be a negative headwind of 300 basis points year-over-year in Q4.,2019,Q3,1,"So we factor that in, and then there’s also two other issues. It’s a bit about the law of large numbers and the differential between growth and holiday season that’s very tight few weeks of the holiday season versus the rest of the year. The Diwali holiday in India was all in Q4 last year and a bit of it was in Q3 this year. Also the Japan consumption tax was raised from 8% to 10% on October 1 and what we saw was a pre-buy a bit in Q3 at the end of the quarter and based on our history with the last time the consumption tax went up many years ago we’ve expected a slight negative impact from that tax in Q4 in Japan. I would say it has helped us by 150 basis points in Q3 and will be a negative headwind of 300 basis points year-over-year in Q4.",1,Correct,,,,
238,"Obviously, if you look at what we had launched in the last few quarters and few years, we launched a lot of new products, and now we are launching a lot of new services.",And when we do that we need to make the adequate investments in marketing and advertising to raise the awareness of the new products and new services and that is what youre seeing for example in the guidance that we provided for the first quarter as we’re launching new services right now and so were making investments both in engineering and in advertising to support the new launches,2019,Q4,1,"Obviously, if you look at what we had launched in the last few quarters and few years, we launched a lot of new products, and now we are launching a lot of new services. And when we do that we need to make the adequate investments in marketing and advertising to raise the awareness of the new products and new services and that is what youre seeing for example in the guidance that we provided for the first quarter as we’re launching new services right now and so were making investments both in engineering and in advertising to support the new launches",0,Wrong,,,,
398,and so this is the year where we've got our peak requirements in terms of capital.,"And then around facilities you probably know that we are nearing completion of our new campus here in Cupertino,",2016,Q1,2,"and so this is the year where we've got our peak requirements in terms of capital. And then around facilities you probably know that we are nearing completion of our new campus here in Cupertino,",0,Wrong,,,,
791,We remain very focused on the consumer experience there.,We do have the WhatsApp Business app which is helping businesses connect with consumers and thats growing well but that monetization opportunity is not available.,2018,Q4,0,We remain very focused on the consumer experience there. We do have the WhatsApp Business app which is helping businesses connect with consumers and thats growing well but that monetization opportunity is not available.,0,Correct,,,,
1422,And so that is really why we have the constraint that we have.,It is clear that there is a demand there even much beyond what we thought. The iPhone SE we are thrilled with the response that weve seen on it.,2016,Q2,0,And so that is really why we have the constraint that we have. It is clear that there is a demand there even much beyond what we thought. The iPhone SE we are thrilled with the response that weve seen on it.,0,Correct,,,,
2116,So that answers the question around Q2.,As you said we were up 40 basis points sequentially. And this is in spite of the fact as you know that we lose leverage as we go from the December quarter to the March quarter. The foreign exchange headwind on a sequential basis was 100 basis points. Obviously that was also a negative. And as you said we started to experience some level of cost pressure on the memory side particularly on NAND and DRAM. To offset that and actually do better than that we had very good cost performance on other commodities And the fact that our Services mix increases as we go through the year that is of course also helping given the profile of our gross margin for Services.,2017,Q2,1,So that answers the question around Q2. As you said we were up 40 basis points sequentially. And this is in spite of the fact as you know that we lose leverage as we go from the December quarter to the March quarter. The foreign exchange headwind on a sequential basis was 100 basis points. Obviously that was also a negative. And as you said we started to experience some level of cost pressure on the memory side particularly on NAND and DRAM. To offset that and actually do better than that we had very good cost performance on other commodities And the fact that our Services mix increases as we go through the year that is of course also helping given the profile of our gross margin for Services.,2,Wrong,,,,
2007,"It's not going to have a material impact on revenue in 2016,",We did begin shipping units in the quarter. This is very small still. VR is still very early.,2016,Q1,2,"It's not going to have a material impact on revenue in 2016, We did begin shipping units in the quarter. This is very small still. VR is still very early.",2,Correct,,,,
1113,"So we are starting to see as I mentioned in earlier calls that the investment will be stepping up in 2019, so started to see that in Q2.",Our trailing 12-month growth in that number is 21% after Q2. So its stepped up from 9% to 21%. But the biggest I would say the biggest impact in this operating profit was the addition of sales and marketing personnel in AWS and also to a lesser extent the stock-based compensation which certainly hits across all of our businesses.,2019,Q2,2,"So we are starting to see as I mentioned in earlier calls that the investment will be stepping up in 2019, so started to see that in Q2. Our trailing 12-month growth in that number is 21% after Q2. So its stepped up from 9% to 21%. But the biggest I would say the biggest impact in this operating profit was the addition of sales and marketing personnel in AWS and also to a lesser extent the stock-based compensation which certainly hits across all of our businesses.",2,Correct,,,,
1025,The next big use case that we've really been working on for a couple of years now and I think is going to – is starting to roll out and is growing quickly is people finding content on Facebook.,Its people finding post that their friends or others had posted in News Feed that they saw but then might want to go check out later.,2015,Q3,0,The next big use case that we've really been working on for a couple of years now and I think is going to – is starting to roll out and is growing quickly is people finding content on Facebook. Its people finding post that their friends or others had posted in News Feed that they saw but then might want to go check out later.,0,Correct,,,,
1786,"What we try to do is get our community to tell us what matters to them,",because we believe that we can get an accurate signal from the community then – people are smart. They know what they want and whats good and they can tell us that if we can ask them in a simple enough way and get aggregate data. And the effect of that is that it basically normalizes for – there are going to be people who read a given news source who will probably trust it because they read it. And weve found that thats the reliable signal of content that helps to build common ground that is unlikely to be polarizing that is unlikely to be false news and what were doing is helping to show that a little bit more.,2017,Q4,0,"What we try to do is get our community to tell us what matters to them, because we believe that we can get an accurate signal from the community then – people are smart. They know what they want and whats good and they can tell us that if we can ask them in a simple enough way and get aggregate data. And the effect of that is that it basically normalizes for – there are going to be people who read a given news source who will probably trust it because they read it. And weve found that thats the reliable signal of content that helps to build common ground that is unlikely to be polarizing that is unlikely to be false news and what were doing is helping to show that a little bit more.",0,Correct,,,,
903,"So at some level, I do think that the core mission and promise of helping to connect people with their friends and family is very fundamental, right?",And everyone has friends and family and wants to stay connected and uses a variety of tools and ways to do that in the world today which are often very inefficient and the Internet offers new opportunities to make that a lot better.,2015,Q2,0,"So at some level, I do think that the core mission and promise of helping to connect people with their friends and family is very fundamental, right? And everyone has friends and family and wants to stay connected and uses a variety of tools and ways to do that in the world today which are often very inefficient and the Internet offers new opportunities to make that a lot better.",0,Correct,,,,
575,"So, one example of some of the things that we're excited about, again, are the click-to-Messenger ads.",Thats something we can put in News Feed in Instagram and Messenger and it both grows the ecosystem and creates a new opportunity for interaction.,2018,Q2,0,"So, one example of some of the things that we're excited about, again, are the click-to-Messenger ads. Thats something we can put in News Feed in Instagram and Messenger and it both grows the ecosystem and creates a new opportunity for interaction.",0,Correct,,,,
1006,"But having said that, if to your specific question of where our differentiation lies, the first one is hybrid.",Most people think about hybrid where they think about the cloud as the edge of their server. We obviously support that with all of our servers. Every server product of ours has cloud enrollment right whether it be SQL whether it be Windows Server and youll see that increasingly even in this next wave of servers.,2016,Q3,0,"But having said that, if to your specific question of where our differentiation lies, the first one is hybrid. Most people think about hybrid where they think about the cloud as the edge of their server. We obviously support that with all of our servers. Every server product of ours has cloud enrollment right whether it be SQL whether it be Windows Server and youll see that increasingly even in this next wave of servers.",0,Correct,,,,
403,What we're hearing from publishers is that this is a good opportunity and they're pleased with the extensions we're making,because it can make their ad serving and buying more efficient across the platforms they use.,2015,Q1,0,What we're hearing from publishers is that this is a good opportunity and they're pleased with the extensions we're making because it can make their ad serving and buying more efficient across the platforms they use.,0,Correct,,,,
1808,"So your question about the AWS margins, that business as they continued to learn and as we continue to invent and get better at designing and operating the infrastructure and assets, we have been able to drive costs out of that business.",So thats one of the primary drivers of the improvements that you see in margin year-over-year. Theres also an FX tailwind in there as well which I think was about $60 million this quarter which would contribute on a year-over-year basis which really arises because were largely priced in dollars but have assets with local currency costs throughout the world.,2015,Q4,0,"So your question about the AWS margins, that business as they continued to learn and as we continue to invent and get better at designing and operating the infrastructure and assets, we have been able to drive costs out of that business. So thats one of the primary drivers of the improvements that you see in margin year-over-year. Theres also an FX tailwind in there as well which I think was about $60 million this quarter which would contribute on a year-over-year basis which really arises because were largely priced in dollars but have assets with local currency costs throughout the world.",0,Correct,,,,
1836,"So on the FX adjusted ARPU growth, I would just really point to the overall revenue growth rate, that's what's driving it.",So youre coming up against a bigger business last year than we had in the past. So youre seeing declining rate on that basis.,2015,Q1,1,"So on the FX adjusted ARPU growth, I would just really point to the overall revenue growth rate, that's what's driving it. So youre coming up against a bigger business last year than we had in the past. So youre seeing declining rate on that basis.",0,Wrong,,,,
1898,"So what I would say is, I'm not sure about the breakthrough element of it.",I would say its just a demonstration of the very tight period where we – weve still added a lot I mean $4.6 billion is a lot of capital leases but the rate of growth over last year is flat.,2018,Q2,1,"So what I would say is, I'm not sure about the breakthrough element of it. I would say its just a demonstration of the very tight period where we – weve still added a lot I mean $4.6 billion is a lot of capital leases but the rate of growth over last year is flat.",0,Wrong,,,,
937,"So certainly, a lot going on in international, a lot that's really good, adding Prime subscribers at a high clip, continuing to add selection at FBA sellers.",So youll see devices you see video content. It may be getting there a little slower than the starting point in the U.S. but we see it really showing up in customer engagement and customer purchases. On the AWS side I think the 2016 to 2015 comparison probably stands on its own and 2014 falls by the wayside so I would encourage you to look at recent trends. So its the whole array of Prime offering Prime Now Same-Day.,2016,Q1,1,"So certainly, a lot going on in international, a lot that's really good, adding Prime subscribers at a high clip, continuing to add selection at FBA sellers. So youll see devices you see video content. It may be getting there a little slower than the starting point in the U.S. but we see it really showing up in customer engagement and customer purchases. On the AWS side I think the 2016 to 2015 comparison probably stands on its own and 2014 falls by the wayside so I would encourage you to look at recent trends. So its the whole array of Prime offering Prime Now Same-Day.",1,Correct,,,,
674,I would say it's a culmination of a lot of separate investments that we're making.,"So if you look at the success of our devices we are seeing tablets where we sold twice the volume in Q1 year-over-year. Fire TV Stick you may have read in our press release that it has greater than 100,000 customer reviews the most reviewed product ever 62,000 or over 62,000 of those reviews are five-star reviews. Weve not only had the Echo but we have the Echo Dot and Tab so were branching off that product line and having trouble keeping those in stock. And of course we launched the new Kindle Oasis e-reader. As it is with digital content you may have seen the recent announcements that were working on a great amount of new content for Prime members.",2016,Q1,1,"I would say it's a culmination of a lot of separate investments that we're making. So if you look at the success of our devices we are seeing tablets where we sold twice the volume in Q1 year-over-year. Fire TV Stick you may have read in our press release that it has greater than 100,000 customer reviews the most reviewed product ever 62,000 or over 62,000 of those reviews are five-star reviews. Weve not only had the Echo but we have the Echo Dot and Tab so were branching off that product line and having trouble keeping those in stock. And of course we launched the new Kindle Oasis e-reader. As it is with digital content you may have seen the recent announcements that were working on a great amount of new content for Prime members.",2,Wrong,,,,
1275,"So we're -- continue to be pursuing the same strategy as we have in North America, adding Prime benefits, adding devices, adding video content, adding AmazonFresh, Prime Now, giving a lot of value to the Prime customers in the international countries as well and also in that numbers.",International growth your comment about slowing down I think theres a slowdown versus Q3 if that was your point. 28% growth in Q3 FX neutral was helped quite a bit by Prime Day and kind of the strengthening of Prime Day in a number of locales. Although weve had Prime Day in most of those countries its really starting to gain more and more traction there. So that is probably more of a help to Q3 than a discussion of any weakness in Q4.,2017,Q4,2,"So we're -- continue to be pursuing the same strategy as we have in North America, adding Prime benefits, adding devices, adding video content, adding AmazonFresh, Prime Now, giving a lot of value to the Prime customers in the international countries as well and also in that numbers. International growth your comment about slowing down I think theres a slowdown versus Q3 if that was your point. 28% growth in Q3 FX neutral was helped quite a bit by Prime Day and kind of the strengthening of Prime Day in a number of locales. Although weve had Prime Day in most of those countries its really starting to gain more and more traction there. So that is probably more of a help to Q3 than a discussion of any weakness in Q4.",2,Correct,,,,
1912,"So we're pretty early in this whole thing and there's so much unique content that people share in Facebook that I think that that is the clear, unique opportunity to go for first, right?",I mean theres – if you think about the overall web theres a lot of public content thats out there that any web search engine can go index and provide. But a lot of what we can get at are recommendations on products and travel and restaurants and things that your friends have shared they havent shared publicly and knowing different correlations or interesting things about what your friends are interested in and thats the type of stuff those are questions that we can answer that no one else can answer and thats probably going to be what we continue to focus on doing first. And I think what youre seeing is that as we enable more use cases and as we just get a lot of the basics right around performance and bringing the mobile features into parity and beyond what weve been able to do on desktop the volume is growing quickly. I think on a recent earnings call we just announced that we passed 1 billion searches total so now being more than 1 billion on mobile shows some progress that Im pretty proud of for the search team.,2015,Q1,2,"So we're pretty early in this whole thing and there's so much unique content that people share in Facebook that I think that that is the clear, unique opportunity to go for first, right? I mean theres – if you think about the overall web theres a lot of public content thats out there that any web search engine can go index and provide. But a lot of what we can get at are recommendations on products and travel and restaurants and things that your friends have shared they havent shared publicly and knowing different correlations or interesting things about what your friends are interested in and thats the type of stuff those are questions that we can answer that no one else can answer and thats probably going to be what we continue to focus on doing first. And I think what youre seeing is that as we enable more use cases and as we just get a lot of the basics right around performance and bringing the mobile features into parity and beyond what weve been able to do on desktop the volume is growing quickly. I think on a recent earnings call we just announced that we passed 1 billion searches total so now being more than 1 billion on mobile shows some progress that Im pretty proud of for the search team.",0,Wrong,,,,
222,"That said, the trade relationships and agreements that the U.S. has between the U.S. and other major economies are very complex and it's clear that several are in need of modernizing, but we think that in the vast majority of situations that tariffs are not the approach to doing that and so we're sort of encouraging dialogue and so forth.",And our view on tariffs is that they show up as a tax on the consumer and wind up resulting in lower economic growth and sometimes can bring about significant risk of unintended consequences.,2018,Q3,0,"That said, the trade relationships and agreements that the U.S. has between the U.S. and other major economies are very complex and it's clear that several are in need of modernizing, but we think that in the vast majority of situations that tariffs are not the approach to doing that and so we're sort of encouraging dialogue and so forth. And our view on tariffs is that they show up as a tax on the consumer and wind up resulting in lower economic growth and sometimes can bring about significant risk of unintended consequences.",0,Correct,,,,
1232,"Obviously, that inventory was required",because of all the new products that we announced on iPad with the iPad Air 2 and the iPad Mini 3 in the October timeframe during the quarter. On iPad we increased channel inventory by 1.1 million units from beginning of the quarter to end of the quarter.,2015,Q1,2,"Obviously, that inventory was required because of all the new products that we announced on iPad with the iPad Air 2 and the iPad Mini 3 in the October timeframe during the quarter. On iPad we increased channel inventory by 1.1 million units from beginning of the quarter to end of the quarter.",0,Wrong,,,,
1994,"When we introduce ads into feed and continue to increase the ad load, we monitor really carefully.",We’re looking at user engagement on the platform we also look at the quality of ads.,2015,Q4,0,"When we introduce ads into feed and continue to increase the ad load, we monitor really carefully. We’re looking at user engagement on the platform we also look at the quality of ads.",0,Correct,,,,
395,"So, obviously, the mix of products was very strong.",Keep in mind that the foreign exchange impact on that number was $49. We couldnt be happier with the level of ASP that we generated in the December quarter. Our iPhone ASP was $691 during the December quarter.,2016,Q1,2,"So, obviously, the mix of products was very strong. Keep in mind that the foreign exchange impact on that number was $49. We couldnt be happier with the level of ASP that we generated in the December quarter. Our iPhone ASP was $691 during the December quarter.",0,Wrong,,,,
1044,"But I view India as where China was maybe seven to ten years ago from that point of view, and I think there's a really great opportunity there.",But because the smartphones that are working there are low end primarily because of the network and the economics the market potential has not been as great there. It is already the third largest smartphone market in the world.,2016,Q2,0,"But I view India as where China was maybe seven to ten years ago from that point of view, and I think there's a really great opportunity there. But because the smartphones that are working there are low end primarily because of the network and the economics the market potential has not been as great there. It is already the third largest smartphone market in the world.",0,Correct,,,,
1109,The way we look at it and the way we believe it works at least in our business is that customers will have a holiday budget and they will spend it between generally the middle of November.,Its creeping up to the early part of November through the holiday season. And we do see obviously spikes in Black Friday and Cyber Monday and we also see relative tick-up in trends as we get closer to the holiday and for the shipping threshold cutoff.,2019,Q4,0,The way we look at it and the way we believe it works at least in our business is that customers will have a holiday budget and they will spend it between generally the middle of November. Its creeping up to the early part of November through the holiday season. And we do see obviously spikes in Black Friday and Cyber Monday and we also see relative tick-up in trends as we get closer to the holiday and for the shipping threshold cutoff.,0,Correct,,,,
