argument,temporal_label,ML_4_features,ML_text_svm,ML_text_logistic,label,year,quarter,,
"For us, this is an important investment and it's very strategic. And you heard on this call me give a few examples of where were already able to connect what happens in terms of ads with real sales of real products. We are going to put the time in to make this work rather than look for any short-run specific return.",0,0,0,0,0,2015,Q2,,Same
The Wearables have done extremely well. It was acceleration further from the previous quarter.,0,0,2,2,2,2019,Q4,text,Different
"And I feel like we're making good progress there and are gaining understanding of the market, but we still have a long way to go, which I sort of see as an opportunity instead of a problem. As you know as I think we talked about before we started manufacturing the iPhone SE there six nine months ago so. And the majority of the iPhone SEs that we sold in the domestic market last quarter were manufactured there. The bandwidth issue has also been an issue but as you point out it is being addressed and between the large carriers there with Bharti and now Jio investing the way they are the service in India is materially better than it was just 12 months ago.",0,0,0,0,1,2017,Q4,,Same
"And then CapEx, we'll see continue to flow in through the P&L over time. And you already saw that pick up with the cost of revenue growth in Q4.",2,2,0,0,2,2018,Q4,rule,Different
"I think, I guess, if you're talking about DAU and MAU, Europe is stable on that front in terms of Facebook overall. The accounting methodology change did affect how Europe sequential growth rate came in but really stable if you kind of take that aside. And we had some impact from GDPR over the last two quarters.",0,0,2,2,0,2018,Q3,rule,Different
and we remain extremely bullish on China and we're continuing to invest. Nothing thats happened has changed our fundamental view that China will be Apples largest market at some point in the future. Its true as you point out that the equity markets have recently been volatile. This could create some speed bumps in the near term. But to put it in context which I think is important despite that volatility in the Chinese market theyre still up 90% over the last year and theyre up 20% year-to-date and so these kind of numbers are numbers I think all of us would love. Also the stock market participation among Chinese household is fairly narrow. And the stock ownership is very concentrated in a few people who put what appears to be a smaller portion of their wealth in the market than we might. And so I think generally this has been at least as we see it maybe its not true for other businesses that this worry is probably overstated.,0,0,1,0,1,2015,Q3,,Same
"In terms of web services, it’s obviously growing extremely fast. We saw some acceleration of growth from a revenue perspective. Over the last few quarters here usage is growing faster than that so we will be deploying more capital as we go there.",0,0,0,0,1,2015,Q1,,Same
"So for purposes of 2016 modeling, I would use the Q1 rate. On the OpEx guide Q1 came in slightly below our annual expense growth guidance but we do expect that investments in areas like video and Oculus will impact the remainder of the year more substantially,",2,1,2,2,2,2016,Q1,rule,Same
First of all on the -- there were two items we discussed last quarter with the Japan consumption tax raising from 8% to 10% effective October 1. The net result was a pull forward of some purchases by Japanese customers into Q3 and also some negative elasticity effects post October 1. The other item was Diwali timing the Indian holiday which has a very large swing factor on international revenues is it moved more into the third quarter this year versus -- in 2019 versus 2018.,2,1,2,2,1,2019,Q4,,Same
And so we feel good about that. From an absolute quantity point of view the upgrades for this fiscal year are the highest that weve seen. However if you look at it from an upgrade rate point of view instead of the absolute number the rate is similar to what we saw with the previous iPhones except for iPhone 6 which as we called out in the past had an abnormally high upgrade rate.,0,0,2,2,1,2017,Q3,,Different
"First of all, it is very important for us to ensure that we did everything to enable LinkedIn to keep their product and cultural ethos of putting members first and innovating on their behalf. And thats what you see in their sessions growth engagement growth their quality member growth. And obviously that all translates into the revenue growth as well across all of the marketing solutions talent solutions and sales solutions.",0,0,0,0,0,2018,Q3,,Same
"As we look back on that, there were number of factors. I mean in any quarter there can be product mix or ASP differentials which shift the unit growth figure but if you also remember we dropped our Super Saver Shipping threshold twice the early part of last year from $49 to $35; and then down to $25.",0,0,1,2,1,2018,Q2,,Same
"so we're very pleased with the results both in constant currency terms and nominal terms. The acceleration we saw from Q3 to Q4 was currency for Europe but Europe continues to grow at a very healthy pace on a constant currency basis,",2,2,2,2,2,2017,Q4,,Same
"So, on the grocery side, for fresh we're in a handful of metropolitan areas here in the U.S. Its been a relatively measured rollout by Amazon standards. We continue to work on the customer experience and making sure were really delivering a quality experience for shoppers. And were also working on the economics.",0,0,0,0,0,2015,Q3,,Same
"And clearly, as you said the idea of adding new services is very important to us. During the last three years weve added Apple Pay which has been incredibly successful and is a wonderful customer experience. Weve added Apple Music where we now have more than 50 million paid subscribers and continues to grow very nicely. And weve added a very useful service to our developers. We provide an advertising service for developers in the App Store.",0,0,2,0,1,2019,Q1,,Same
"So Mark, I can't comment on the derive number, but I can say that FBA continues to grow really well, it’s become a bigger and bigger part of our third party mix over the years I think we gave you an update in Q4 that it was more than 40% of our third party units.",2,2,2,2,2,2015,Q1,,Same
"And on the question on capacity, – excuse me, cap – I'll address it as CapEx and capital leases, we're still seeing strong investment there. If I look at the quarterly trends youre right that this quarter was up 33% in isolation versus last year. I look back to last years first quarter and we grew 82% year-over-year. So it was a particularly heavy quarter particularly for investment in warehouses. So if I step back on the trailing 12 months though CapEx which is predominantly tied to our fulfillment center network is up 47%. That is above the Amazon fulfilled unit growth rate but we combined the strength of the FBA program and the space requirements as we get into bigger and bigger products. On the capital leases which is a good proxy for the spend to support the AWS business thats up 49% year-over-year on the trailing 12 months.",0,0,1,1,1,2018,Q1,text,Different
And so the Watch had a more of a back-ended kind of a skewing. On the Watch our June sales were higher than April or May. I realize thats very different than what some of the is being written but the June sales were the highest.,0,0,0,0,2,2015,Q3,,Same
"From the new regions, they are not the major driver in any way. Most of our capacity and capital and capital leases in AWS is to service existing regions and existing customers demand growth. But there is certainly expenditures when we open up new regions. Some of that is not always in the year that we open the region. So we spent a good bit on those new regions already in 2015. But as far as pricing theres no capacity constraint and I would a little bit dispute the deceleration comment on yes on a percentage basis 69% is lower than Q3. But as I said before were approaching a $10 billion run rate in this business. On a dollar basis we continue to grow – we saw the greatest growth year-over-year and quarter-over-quarter and again we continue to invent now with our price we continue to innovate on behalf of customers and see great customer response.",2,1,2,2,2,2015,Q4,rule,Same
"And like Brian said, we like to be close to customers and benefit from having inventory close to customers as well. So we ended the year last year with 109 fulfillment centers around the world and 19 U.S. sort centers. And typically were looking at what the demand would be for peak as we figure out what we need;",0,0,0,0,1,2015,Q2,,Same
"Secondly to provide a bit more color, sales of the Watch did exceed our expectations and they did so despite supply still trailing demand at the end of the quarter. And to give you a little additional insight through the end of the quarter in fact the Apple Watch sell-through was higher than the comparable launch periods of the original iPhone or the original iPad. And we were able to do that with having only 680 points of sale. And as you probably know as I had reviewed earlier the online sales were so great at the beginning we were not able to feed inventory to our stores until mid-June. And so those points of sale pretty much the overwhelming majority of the low numbers of sales were not there until the last two weeks of the quarter.",0,0,2,2,2,2015,Q3,text,Different
"So, yes, revenue synergies are showing up but mostly because product synergies are showing up and thats because of the product ethos of LinkedIn around member-first is what we have maintained throughout this integration.",0,0,0,0,0,2018,Q3,,Same
"And I just think the team is doing a really good work on all of these, and I'm really proud of them. But I mean the team has just done really good work in terms of ranking the content and making the experience faster and building out better ways to get feedback from our community on what kinds of content they want to see in News Feed and helping people have the tools that they need to share the social content and news and video content that they want so that way it exists in the corpus of content that can be shown.",0,0,0,0,0,2015,Q2,,Same
"We're also focused on job growth, job creation over there. Since we launched over in India in 2013 weve created over 700,000 direct and indirect jobs. So -- we also recently announced plans to create additional one million jobs in India by 2025.",1,1,0,0,0,2019,Q4,text,Different
So part of our playbook for building out these ecosystems at scale is we start with the person-to-person user base. So whether thats in messaging its people messaging their friends or groups and News Feed.,0,0,0,0,0,2016,Q1,,Same
So we are getting very good top-line growth. 5.1% operating margin was up from 3.9% in Q1 and 3% last Q2. A lot of it is the top-line growth but its also a lot of the efficiency were seeing particularly on the fulfillment and marketing lines which for the whole company were flat year-over-year on a percent of revenue basis. A lot of that is fueled by Prime adoption and we are dropping a lot of it to the bottom line with many of the efficiency projects. What I can say is that if you adjust for foreign exchange the operating margin is up slightly both sequentially and year-over-year. What youre seeing there is also obviously colored by our investment our increased investment in India based on the momentum and the success weve been seeing there so far.,2,2,1,1,1,2015,Q2,text,Different
"Overall, we are very excited about the growth we are seeing in Office 365. On the consumer side as you noted we are growing 1 million subs a month and thats fantastic growth for us. The consumer value especially now that we have even all the endpoints covered with Office the definition of Office and where all its present is also changed and that all accrues to consumers being willing to have a subscription relationship with us.",0,0,0,0,0,2015,Q4,,Same
"So, even if I see all the good things and good trends happening that I feel really create a great opportunity for us to sell Microsoft 365, you will see growth rates moderate next year. H2 where weve had really strong revenue growth and a really strong market will I think moderate growth wise just because the base it was coming off in 17 was just a lot lower.",0,0,2,2,0,2018,Q4,rule,Different
"We will do that overtime, because the amount is very large.",0,0,0,0,0,2018,Q1,,Same
"So obviously FX has been a significant hit in many ways, of course. I mean it reduces our growth rate. We would be 800 basis points higher this quarter from the 33% that weve reported if it wasnt for the movement in currencies around the world. And really when you look around the world its really if you exclude China essentially every single currency has weakened against the dollar.",0,0,1,2,0,2015,Q3,rule,Same
"So the impression growth acceleration, you've got a couple factors going on there. One of the factors is just that the desktop roll-off is just continuing. So as it gets smaller it has less of a depressive effect on the overall impression growth number because if you recall desktop has quite a number of impressions per DAU just given its the right-hand column that has multiple impressions on each screen. And obviously Instagram is continuing to grow nicely as well so thats another contributing factor there.",0,0,0,0,0,2018,Q1,,Same
We're also seeing a lot of strength in brand. So to share one example Jack In The Box use our Canvas ads which are very immersive ads. Theyre really good for a brand experience to roll out a new menu item their Double Jack burger. They worked with agencies Horizon David & Goliath and Adaptly and they targeted millennials on Facebook to create two different custom audience groups. One group was customers who had visited the restaurant web page or engaged with previous video ads. And the second group were people that hadnt engaged with them directly but were quick service restaurant purchasers. They had an average view rate of 23 seconds across those Canvas ads so clearly people were really engaged in the brand experience of the ads and they had a 13-point lift in add recall and a 9-point lift in purchase intent.,0,0,0,0,0,2016,Q2,,Same
"And I think in the last six months or a year alone, there have been hundreds, if not thousands, of cases where we're we've been able to get first responders to people when they needed help And thats an area where the goal isnt to take down the content but if we see an area where - if we see something that a person might be thinking about hurting themselves we now have thousands of people and technical tools that can flag this content to those people to - so we can actually go get first responders to go reach out to people. because of this approach of being more proactive on looking at the content.",0,0,1,0,1,2018,Q4,,Same
"And to your specific question, Heather, on the impact of some of the price increases that went into effect in Q2, I'd say it's a couple of points. The overall number even if you take a couple points off that 28% is a very good performance that I believe to Satyas point is the impact youve seen of the very aligned technology road map on the architecture plus a business model that matches it.",1,2,0,0,0,2019,Q1,text,Same
"And so we are still insignificantly in the build mode there, and so don't think of the penetration as anywhere near sort of a mature penetration. The -- what were seeing in terms of new adds on the Watch I think Luca may have mentioned this in his comments is about three-quarters of the Apple Watch buyers are new to Apple Watch.",0,0,0,0,0,2019,Q4,,Same
"Just quickly on the ASC impact, Brian mentioned earlier that of course we've been talking about it all year the changing, and the subscription revenue recognition is now straight line. So on a comp basis youd expect to see subscription revenue be about $300 million lower due to that accounting change. The other piece that we hadnt talked about is the reclass that we gave in the past few quarters specifically around the advertising services that have moved from Contra COGS into other revenue beginning in 2018. That was about $750 million increase to that other sales revenue category here in the third quarter.",2,0,2,2,1,2018,Q3,,Same
In particular what we saw this quarter was really as much about the mix of the devices that the OEMs are bringing to market as it was in the absolute unit distinction. And you saw that in the non-Pro revenue performance. And so for us I think really the way to think about the early signs of the impact were the strong device mix some higher priced units across a wide variety of OEMs as we build into holiday did provide some slightly better than expected results as you noted in the non-Pro business. But really some of the other upside that we saw in the quarter was from things that are the second sort of derivative of that which was our search results were better than we had thought Because of some of these results about where the PCs were upgraded and the pace at which they were upgraded.,0,0,2,2,2,2016,Q1,text,Different
We had – what I attribute it to is continued strength in our – some of our most profitable areas. AWS had its third consecutive quarter of accelerating growth 49% FX-neutral growth. Advertising also had strong growth. Elsewhere we saw probably better than expected efficiencies in operations our infrastructure costs and generally all of our fixed costs. Youll note that in the first half of the year capital leases were flat year-over-year although were up 20% for the full trailing 12 months in the last 6 months its been pretty flat as the team has really worked well to plan our data centers run our data centers more efficiently even to meet again increasing usage at our customers; usage rates are exceeding our growth rate.,0,0,2,2,2,2018,Q2,text,Different
We are pleased with our Q4 results. We had a strong holiday season despite it being abbreviated.,2,2,2,2,2,2019,Q4,,Same
"On that latter point, really the mix of ad units is part of what we're doing I think really well. Were developing a number of new ad products as well as enhancing the ad products that we have out in the market today. So were taking what is a great mobile ad product on Facebook and Instagram and making it even better. And I think the investments that were doing there will continue to enable us to drive advertiser demand.",0,0,0,0,0,2016,Q3,,Same
We believe that's working. So we will continue to invest in video content. Well continue to invest in fulfillment space to handle higher and higher paid unit volumes and shipped unit volumes. Well continue to invest in things that we believe enhance the customer experience particularly the Prime experience. Devices well continue to invest in as particularly Alexa and the Echo products. Well continue to invest in getting faster and faster shipping methods for our consumers.,0,0,0,0,0,2016,Q3,,Same
So we had continued efficiency. We didnt put a lot of new fulfillment center capacity or infrastructure into place at least compared to Q1 of last year. And hiring was moderate; we actually are down to 12% on a trailing 12-month basis.,2,2,1,1,0,2019,Q1,,Different
"and so we’re extremely excited about that. Bill we continue to see a higher rate of switchers than we have seen in previous cycles, And if you look at emerging markets in general I think Luca covered some of this the revenue from emerging markets just for the March quarter was up 58% year on year. We also continue to see a reasonable percentage of first time buyers particularly in some of the emerging markets.",0,0,0,2,2,2015,Q2,text,Same
"Those, we believe, are attractive long-term investments. Those are things that will play out – AI in the near-term but the investments in AR and VR are really about building the next generation of computing and thats got a longer-term return window.",0,0,0,0,0,2018,Q2,,Same
There are a lot of elements in the gross margin line that we have good control over and there are also elements that we don't control. Take for example foreign exchange which has been a significant headwind for the company for the last three years now. Also the mix of products that we sell into the market tends to change over time and that also has an impact on the overall gross margin for the company.,0,0,1,1,1,2017,Q4,text,Different
"So, on the apps question, the ones that have done the best are things that augment core Facebook functionality for large subsets of the community. So for example we have this Pages Manager App. There are 50 million businesses that have pages on Facebook. And giving a focused experience for the person who wants to run their business through Facebook and be communicating with their customers all day long that’s just proven to be an incredibly engaging experience that drives content into the system and is good overall. We have introduced a number of things like that for public figures for groups messengers probably been the most successful; it’s something that’s connected to the Facebook experience that now has more than 800 million people using it.",0,0,0,0,0,2015,Q4,,Same
It's starting to pivot to consumed. It will then land as billings and ultimately in our P&L as GAAP revenue in-quarter off the balance sheet.,0,0,0,0,0,2017,Q2,,Same
What we focus on is innovating on behalf of customers and expanding the geographic footprint to make our services more widely available. You can see us continue to invest in things like new application services higher up the stack additional technologies that will make integrating with AWS seamless for those companies that have a hybrid IT environment and then continuing to add functionality for data analytics mobile Internet of things machine learning offerings things like that that will add greater and greater value for AWS customers.,0,0,0,0,0,2016,Q2,,Same
It's now a multibillion-dollar program. You can see the – in our supplemental revenue disclosure its in other revenue and its the majority of the other revenue in that line item.,0,0,0,0,0,2018,Q1,,Same
"When you look at our financial performance in recent years, take the last three years, for example, the number of units sold during any quarter has not been necessarily representative of the underlying strength of our business. If you look at our revenue given the last three years if you look at our net income during the last three years if you look at our stock price here in the last three years theres no correlation to the units sold in any given period. As you know very well in addition our product ranges for all the major product categories have become wider over time and therefore a unit of sale is less relevant for us at this point compared to the past because we got this much wider sales price dispersion so unit of sale per se becomes less relevant.",0,0,1,1,1,2018,Q4,text,Different
"So, we couldn't be happier with the progress. And were seeing a growing engagement with the broader Apple ecosystem during the quarter. And so when you look at it each of our categories iPhone iPad Mac wearables services everything improved sequentially. I would point out I think I mentioned in my comments that we actually grew in constant currency for Greater China and we grew in Mainland China on a reported basis.",0,0,2,2,2,2019,Q3,text,Different
"So yes -- sorry, the operating margin in AWS, just like the revenue rate it's such a rapidly growing business with different timing of investments and global expansion in investment in marketing and other infrastructure that is going to vary quarter-to-quarter. We had a -- weve come off a period where if you remember last year we had less investment needed in infrastructure both for AWS and for Amazon in total. The -- I dont have the number directly in front of me but anyway we grew finance leases which is essentially our props for capital leases for infrastructure by 9% in Q1 and it was 10% all of last year coming off a year in 2017 where we had growth of 69%. So we had that dynamic.",0,1,1,1,1,2019,Q2,text,Same
"on pricing growth, I think there we feel like we're making good progress in our goal of driving better outcomes in ROI for our advertisers through things like better targeting, better ad units, driving better conversion, and the willingness of advertisers continue to grow budgets with us I think highlights our progress there. You remember they are optimizing at the end of the day for business results for a given dollar spent not the impression price that were kind of nominally reporting here. So you can think of all of this work and Sheryl talked about the value optimization efforts as part of that as being an effort to improve the yield of the impressions that we have to drive downstream business results for advertising partners.",0,0,2,0,0,2017,Q4,rule,Same
"But I suspect that any time there are large numbers of customers that have a phone that's in that two year kind of range that it tends to be a sweet spot, and I think you probably will see a lot of people trying to recruit those customers. We clearly saw that this year. Theres a lot of competition for customers in the U.S. which I think is the market that youre talking about.",0,0,1,0,1,2016,Q4,,Same
"So having mid-roll ads, we're committed to doing this in a way that's very good on the user experience, but that is going to enable the kind of content that I think is going to take us to the next level. The early trends are good but I think this is really going to be an area that is proportional to the amount of quality content that is in the system and the business model is really going to be the thing that enables that.",0,0,0,0,0,2016,Q4,,Same
"We're excited to bring the UEFA Champions League Soccer and College Basketball to Facebook, and we're going to continue to experiment with developing many different forms of content for Facebook. On this sports answer sports is one of the ways that people get together on Facebook and build community.",0,0,0,0,0,2017,Q4,,Same
"And we traditionally see a step-up in stock-based compensation expense in Q2, and we're seeing the same thing this year. And lastly I would say in Q2 as a reminder each year we - Q2 is a time when we grant RSUs to employees.",1,2,1,2,0,2019,Q1,,Same
"So we're very happy with the growth in the business, the momentum that we're seeing with enterprise customers. Weve had sequential increase in growth rate the prior three quarters I believe it was. This quarter is slightly down but still 46% growth is very strong. We are at an annualized run rate above $26 billion and that was about $18 billion this time last year.",0,0,2,2,1,2018,Q3,,Different
"Yeah, we're very happy with the results we're seeing, and the backlog that we see, and the new contracts and new customers and the expansion of existing customer business that we see. Again the business has accelerated the last three quarters and were seeing great signs in a number of areas. Weve added 800 new services and features so far this year; thats an accelerated pace from last year which was a record year. We see customers have migrated more than 80,000 databases using the AWS Database Migration Service. And customers are just branching out to a lot of new products from us.",0,0,2,1,1,2018,Q2,text,Same
And so the underlying growth rate for service in the quarter was fantastic. It was 24%. Its the highest growth rate that weve had for services during fiscal 2017.,2,0,2,2,2,2017,Q4,rule,Same
"The thing I can tell you about pricing is that our pricing is, price reductions are a core part of our philosophy, of course. We had a price decrease in Q3 and that was our 52nd since we started this business. Not only did we lower the prices of our products but we also create new services that are cheaper that customers can switch to.",2,2,1,0,2,2016,Q3,rule,Same
"So, yeah, we do see expansion of the one-day program as we move through the year. Weve been expanding since we started this effort in Q2 of last year. Expansion means additional cities additional routes additional zip codes.",2,2,2,2,1,2019,Q4,,Same
A good deal of that is tied to the AWS business. So that nearly 40% growth in Amazon fulfilled units last year and the continuation of the strong growth higher than the paid unit growth that we see in 2017 is resulting in a lot of fulfillment center capacity. But a caution; CapEx can fluctuate quarter-to-quarter and if you look back to last year the trailing 12 months was only 7% growth from the quarters through Q1 of last year.,2,1,1,1,1,2017,Q1,text,Same
"So if you think back to how we've talked about the long term, the lifetime value equation, it's those components that I really think about proving out over time, and we had lots of encouraging signs about that. The trend we saw there as I said were 5% up in a constant currency basis. That was 70% cloud minus 8% on prem. Thats a trend thats not new for us. Weve thought about making this transition as quickly as possible but what were seeing which you heard us talk about was a transition to increasing premium mix selling more workloads doing all of that while were growing the installed base. New users Satya referenced on the small business and mid-market side. Premium mix we talked about how many premium services were now selling. And then in terms of renewals theyre quite good which we talked about.",0,0,0,0,0,2016,Q1,,Same
"So that’s contributing to some of the deceleration, specifically as we look out into the remainder of 2019. We are seeing faster growth in impressions coming from Stories and then also coming from geographies that monetize at lower rates on things like Facebook News Feed. So even though we’re seeing good impression growth that’s impression growth it’s flowing through at a lower price point. Then the way that growth was driven in the prior year.",2,0,2,0,0,2019,Q2,text,Same
"The deceleration you're seeing of 700 basis points is more a function of the Prime Day that we had in Q3, if you remember. We didnt break it out by segment but we said that Prime Day contributed 200 basis points to our Q3 run rate revenue growth rate. So sequentially last year any North America EGM we dropped from 31% to 27%. So there is always a - generally a sequential drop in Q4.",2,2,2,2,1,2015,Q4,,Same
"So I would say right now, it's more about efficiency and also performance of the advertisement themselves. The other revenue growth that you see does include some non-advertising things as well. So while other revenue grew 36% and it is principally advertising advertising grew a bit higher than that.",0,0,0,0,0,2019,Q1,,Same
And one of the things we are doing is trying to make it simpler and simpler for people to get on these sort of monthly financing kind of things. Thats a part of what we announced with the Apple Card earlier in the call and so we are cognizant that there are lots of users out there that want sort of a recurring payment like that and the receipt of new products on some sort of standard kind of basis and we are committed to make that easier to do than perhaps it is today.,0,0,0,0,2,2019,Q4,,Same
